sector,fuel,n_years,corr_margin_change_vs_price_change,estimated_margin_change_for_plus10pct_price
Materials,Gasoline,16,-0.31683017742795666,-0.0006683618671904615
Materials,HeatingOil,16,-0.40324181284492966,-0.0012166696442033427
Materials,NaturalGas,16,-0.04102032327759897,0.00037447401633720895
Real Estate,Coal,15,0.05086634242692651,-0.00016462123130110988
Real Estate,CrudeOil,15,0.18598951417852122,0.0019068732709918565
Real Estate,Diesel,15,0.2834902980888962,0.008069949713166725
Real Estate,Electricity,15,0.01329416940641077,0.00982818367717643
Real Estate,Gas,15,0.3400439706335368,0.010342878028472087
Real Estate,Gasoline,15,0.3243660516879413,0.005071214715212151
Real Estate,HeatingOil,15,0.28121613804922113,0.0035981921219847253
Real Estate,NaturalGas,15,-0.08279248799239011,-0.0021640266875814613
Utilities,Coal,14,-0.2844749188934314,-0.0016469968336931765
Utilities,CrudeOil,14,-0.3853847104989035,-0.0036835414007891695
Utilities,Diesel,14,-0.38888997207115733,-0.004986511676498239
Utilities,Electricity,14,-0.057540145529424463,-0.0007937549307171147
Utilities,Gas,14,-0.4117990728184545,-0.006273200632178115
Utilities,Gasoline,14,-0.41790245613820975,-0.004183124904132485
Utilities,HeatingOil,14,-0.42429123671015073,-0.003407443562616193
Utilities,NaturalGas,14,-0.2500124009064283,-0.0020658302628956226
